track_id,track_name,artists,album_name,album_id
6phik4BkqTBtDodw8ZJJ5Q,GODSTAINED,Quadeca,"Vanisher, Horizon Scraper",6o6VAIetIFOsaOa0qt7w9u
7sXOV8uUpxPtyTZoV2iqYa,Have A Baby (With Me),Daniel Caesar,Son Of Spergy,2LKW0m9cC63QzEI9tJH3ql
2al0D4c36NkkQY9NQbYjxE,Abandon Me,"Kevin Abstract, Quadeca",Blush,59pGTYofVrG2K6Q12h7gm0
45mVT3DCE7AATXgESSdfee,Don't You Worry Baby (feat. Madison McFerrin),"Tyler, The Creator, Madison McFerrin",DON'T TAP THE GLASS,1jzv3jwZbt8lYfEtMjiD1R
76jsGLoaUN5kgYglcACpvC,Geezer,"Kevin Abstract, Dominic Fike, Geezer",Blush,59pGTYofVrG2K6Q12h7gm0
6DH13QYXK7lKkYHSU88N48,Who Knows,Daniel Caesar,Son Of Spergy,2LKW0m9cC63QzEI9tJH3ql
1lh5stJGmaVucEdExCqEVm,Moon (Feat. Bon Iver),"Daniel Caesar, Bon Iver",Son Of Spergy,2LKW0m9cC63QzEI9tJH3ql
6lJxjmUZ0EcZoxyKNhOOGa,Maroon,"Kevin Abstract, Dominic Fike",Blush,59pGTYofVrG2K6Q12h7gm0
1OzmA3aBR7QK94L2tReAeD,NO QUESTIONS ASKED,Quadeca,"Vanisher, Horizon Scraper",6o6VAIetIFOsaOa0qt7w9u
7jWUnmVEcqR3KggTiSNWAW,Prelude,Miley Cyrus,Something Beautiful,7h7smPzBYx8LOLI3ncM3vQ
7ctROU9Cit8yXawvYQgkIh,Call On Me,Daniel Caesar,Son Of Spergy,2LKW0m9cC63QzEI9tJH3ql
5WGr8oEBp2RBrorc5ZEx1K,Trinidad,Geese,Getting Killed,0eeXb23yMW6EaIgm63xxPC
50SUl5f6BMCWSV2JX1TAWh,FORGONE,Quadeca,"Vanisher, Horizon Scraper",6o6VAIetIFOsaOa0qt7w9u
1JvQhXD5FxkK2GjHCyFmZa,Ace Trumpets,"Clipse, Pusha T, Malice",Let God Sort Em Out,17ScNnJ0lSWajodZaRpHdQ
4waPZF96vX1Oz5pzH6dB0h,I'll Take Care of You (feat. Yebba),"Tyler, The Creator, Yebba",DON'T TAP THE GLASS,1jzv3jwZbt8lYfEtMjiD1R
7JzTTmvNedMzaYwijsJhxA,RUIN MY LIFE,Quadeca,"Vanisher, Horizon Scraper",6o6VAIetIFOsaOa0qt7w9u
0xaQ86cGRgcF8wwP1SkXsb,So Be It,"Clipse, Pusha T, Malice",Let God Sort Em Out,17ScNnJ0lSWajodZaRpHdQ
3MYz54tDi5fnEJjjCfPPlZ,Golden Burning Sun,Miley Cyrus,Something Beautiful,7h7smPzBYx8LOLI3ncM3vQ
1lTqq0aC6r2bXLviQ3oaVt,Ring Ring Ring,"Tyler, The Creator",DON'T TAP THE GLASS,1jzv3jwZbt8lYfEtMjiD1R
3q8mXT1racKde1h8zHY1ko,New Flower! (feat. Leon Thomas),"Aminé, Leon Thomas",13 Months of Sunshine,5B4zpYhcIOJXQO7YWBh0LE
2t0wwvR15fc3K1ey8OiOaN,Selfless,The Strokes,The New Abnormal,2xkZV2Hl1Omi8rk2D7t5lN
1IF3hx6HU46Pitm0dOdVJO,Stop Playing With Me,"Tyler, The Creator",DON'T TAP THE GLASS,1jzv3jwZbt8lYfEtMjiD1R
4FwcBvVwrlPVeWYEuMl7J0,HYPERYOUTH,Joey Valence & Brae,HYPERYOUTH,4QzLpl3oZx1P1BnhvkkAYW
4drCFK6JgBFzJelxuLpRko,Post Break Up Beauty,"Kevin Abstract, Love Spells",Blush,59pGTYofVrG2K6Q12h7gm0
1WmBVbFmLt0w6zPP37TeCG,Illegal,PinkPantheress,Fancy That,3o81FH5FTYVtoBQOZr3T7y
7j3zZ2jAjzFD60UjhldhHo,I've Been In Love,"Jungle, Channel Tres",Volcano,5xnXOCf5aZgZ43DgGN4EDv
1qlQO97yiRSG1Yacj2cTUX,Rewind,Dijon,Baby,3hKlec1wgYVJcI0YvwCFJB
75DUBuQSZ5fXbp7GHbTmTV,Islands of Men,Geese,Getting Killed,0eeXb23yMW6EaIgm63xxPC
7qOBKhD1a54OvLvVee2tGf,Cobra,Geese,Getting Killed,0eeXb23yMW6EaIgm63xxPC
3a9Qmzy2dqZsa8QAggkioN,MONDAY,Quadeca,"Vanisher, Horizon Scraper",6o6VAIetIFOsaOa0qt7w9u
2zf1izCOz2F22PF27uhxRF,Love Takes Miles,Cameron Winter,Heavy Metal,7mOrnQqDad3RgYQsJGaaqk
6L3i4jdNnk0a9kMT3qIqTG,The Birds Don't Sing,"Clipse, John Legend, Voices of Fire, Pusha T, Malice",Let God Sort Em Out,17ScNnJ0lSWajodZaRpHdQ
1FYXNzi1u1vAl8aUC9TcdO,Something Beautiful,Miley Cyrus,Something Beautiful,7h7smPzBYx8LOLI3ncM3vQ
1ycWao0WR8QbrU060okPfd,Danny’s Track,"Kevin Abstract, Danny Brown",Blush,59pGTYofVrG2K6Q12h7gm0
28RGHzCKNZEAWquYbZl3EI,More to Lose,Miley Cyrus,Something Beautiful,7h7smPzBYx8LOLI3ncM3vQ
6Qgy3ikLFnJsJ7xHL0mayF,Baby!,Dijon,Baby,3hKlec1wgYVJcI0YvwCFJB
6sttoqV8pbvwqL4VyLFZ4K,97 Jag,"Kevin Abstract, Love Spells",Blush,59pGTYofVrG2K6Q12h7gm0
6qR5YGunNSASaabs4kJB9V,Yamaha,Dijon,Baby,3hKlec1wgYVJcI0YvwCFJB
0mwlZQjUxspUTpAzLwexw7,P.O.V.,"Clipse, Tyler, The Creator, Pusha T, Malice",Let God Sort Em Out,17ScNnJ0lSWajodZaRpHdQ
4188gCyHwTu6qteSnus4OF,Yoko Ono,"Kevin Abstract, Love Spells, Makana XO",Blush,59pGTYofVrG2K6Q12h7gm0
6nUPcVDYjCrnNMaXAJ9eO3,Drinking Age,Cameron Winter,Heavy Metal,7mOrnQqDad3RgYQsJGaaqk
4AJWlmqzFwDuCWozzjxTjO,WAGING WAR,"Quadeca, Olēka","Vanisher, Horizon Scraper",6o6VAIetIFOsaOa0qt7w9u
7tJ8jCSe5XPIkRluGfZTu3,AT A TIME LIKE THIS,Quadeca,"Vanisher, Horizon Scraper",6o6VAIetIFOsaOa0qt7w9u
55N8cxpE1QDoeaaNqUnoZ2,Bad Decisions,The Strokes,The New Abnormal,2xkZV2Hl1Omi8rk2D7t5lN
6IRzBP4gVoV4D2zHmocoWy,Eternal Summer,The Strokes,The New Abnormal,2xkZV2Hl1Omi8rk2D7t5lN
6xV7Be6XEvkSnighmh2Tzj,Sugar On My Tongue,"Tyler, The Creator",DON'T TAP THE GLASS,1jzv3jwZbt8lYfEtMjiD1R
2RNvC0LEYaPRmV1TnNiOl0,Text Me,"Kevin Abstract, Sekou",Blush,59pGTYofVrG2K6Q12h7gm0
3wyntMwz2XfUWy3O7ukBbD,Somewhere in Between,Blood Orange,Essex Honey,5RUma3H9uzDLXxwT7JzTel
2mDYYGaGd9uXKkK2YhDA3i,Brooklyn Bridge To Chorus,The Strokes,The New Abnormal,2xkZV2Hl1Omi8rk2D7t5lN
2rDMtmPctM67hICAZTKAjx,End of the World,Miley Cyrus,Something Beautiful,7h7smPzBYx8LOLI3ncM3vQ
